DrugID,Drug_Target
DB03332,4846
DB03707,4846
DB03910,4846
DB03918,4846
DB03963,4846
DB03974,4846
DB04018,4846
DB04223,4846
DB04534,4846
DB04559,4846
DB07001,4846
DB07244,4846
DB07388,4846
DB08018,4846
DB08019,4846
DB00171,90
DB08597,90
DB00616,4311
DB02062,4311
DB02557,4311
DB02558,4311
DB02597,4311
DB08575,4311
DB08626,4311
DB00232,759
DB00311,759
DB00381,759
DB00423,759
DB00436,759
DB00562,759
DB00606,759
DB00703,759
DB00774,759
DB00819,759
DB00869,759
DB00880,759
DB00909,759
DB00999,759
DB01021,759
DB01031,759
DB01119,759
DB01144,759
DB01194,759
DB01325,759
DB08155,759
DB08156,759
DB08157,759
DB00116,10797
DB00157,10797
DB00131,107
DB00171,107
DB00212,5972
DB01258,5972
DB01844,5972
DB02296,5972
DB02803,5972
DB03024,5972
DB03395,5972
DB03736,5972
DB03968,5972
DB04379,5972
DB04387,5972
DB06899,5972
DB06967,5972
DB07059,5972
DB07113,5972
DB07174,5972
DB07244,5972
DB08099,5972
DB00114,883
DB02142,883
DB02556,883
DB04083,883
DB07950,883
DB00075,916
DB00114,57026
DB00165,57026
DB00407,462
DB00569,462
DB01109,462
DB01225,462
DB02944,462
DB04464,462
DB06271,462
DB06779,462
DB06822,462
DB08813,462
DB00811,55193
DB00400,203068
DB00157,4709
DB00129,383
DB01983,383
DB02381,383
DB02499,383
DB02689,383
DB03144,383
DB03731,383
DB03904,383
DB04197,383
DB04530,383
DB04585,383
DB04648,383
DB00157,223
DB01907,223
DB00217,150
DB00246,150
DB00248,150
DB00268,150
DB00320,150
DB00321,150
DB00334,150
DB00363,150
DB00368,150
DB00370,150
DB00397,150
DB00413,150
DB00449,150
DB00484,150
DB00543,150
DB00575,150
DB00589,150
DB00629,150
DB00633,150
DB00656,150
DB00668,150
DB00692,150
DB00696,150
DB00697,150
DB00714,150
DB00734,150
DB00751,150
DB00797,150
DB00800,150
DB00852,150
DB00865,150
DB00925,150
DB00935,150
DB00964,150
DB00968,150
DB01018,150
DB01049,150
DB01142,150
DB01149,150
DB01186,150
DB01200,150
DB01224,150
DB01238,150
DB01267,150
DB01287,150
DB01363,150
DB01392,150
DB01403,150
DB01472,150
DB01577,150
DB01608,150
DB01624,150
DB04948,150
DB06148,150
DB06262,150
DB06694,150
DB06711,150
DB00216,3350
DB00246,3350
DB00247,3350
DB00248,3350
DB00268,3350
DB00315,3350
DB00321,3350
DB00334,3350
DB00363,3350
DB00413,3350
DB00477,3350
DB00490,3350
DB00540,3350
DB00571,3350
DB00589,3350
DB00656,3350
DB00669,3350
DB00714,3350
DB00726,3350
DB00734,3350
DB00866,3350
DB00904,3350
DB00952,3350
DB00960,3350
DB01049,3350
DB01142,3350
DB01149,3350
DB01186,3350
DB01200,3350
DB01224,3350
DB01238,3350
DB01267,3350
DB01392,3350
DB01614,3350
DB01616,3350
DB01618,3350
DB01621,3350
DB01622,3350
DB05271,3350
DB06684,3350
DB08807,3350
DB08810,3350
DB00114,6472
DB00116,6472
DB00145,6472
DB00035,554
DB00067,554
